table_schema,table_name,ordinal_position,column_name,data_type,udt_schema,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_identity,identity_generation
public,ai_bundle_items,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,ai_bundle_items,2,bundle_id,bigint,pg_catalog,int8,null,64,0,NO,null,NO,null
public,ai_bundle_items,3,market_product_id,bigint,pg_catalog,int8,null,64,0,NO,null,NO,null
public,ai_bundle_items,4,role,text,pg_catalog,text,null,null,null,NO,'component'::text,NO,null
public,ai_bundle_items,5,quantity,integer,pg_catalog,int4,null,32,0,NO,1,NO,null
public,ai_bundle_items,6,item_order,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_bundle_recommendations,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,ai_bundle_recommendations,2,bundle_name,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,ai_bundle_recommendations,3,bundle_type,text,pg_catalog,text,null,null,null,NO,'bundle'::text,NO,null
public,ai_bundle_recommendations,4,keyword,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_bundle_recommendations,5,category,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_bundle_recommendations,6,status,text,pg_catalog,text,null,null,null,NO,'candidate'::text,NO,null
public,ai_bundle_recommendations,7,ai_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_bundle_recommendations,8,synergy_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_bundle_recommendations,9,convenience_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_bundle_recommendations,10,differentiation_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_bundle_recommendations,11,margin_score,numeric,pg_catalog,numeric,null,5,2,NO,50,NO,null
public,ai_bundle_recommendations,12,confidence,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_bundle_recommendations,13,target_sale_price,numeric,pg_catalog,numeric,null,14,2,YES,null,NO,null
public,ai_bundle_recommendations,14,target_cost_price,numeric,pg_catalog,numeric,null,14,2,YES,null,NO,null
public,ai_bundle_recommendations,15,target_margin_rate,numeric,pg_catalog,numeric,null,8,3,YES,null,NO,null
public,ai_bundle_recommendations,16,recommendation_reason,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_bundle_recommendations,17,evidence,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,ai_bundle_recommendations,18,generated_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,ai_bundle_recommendations,19,reviewed_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,ai_bundle_recommendations,20,decision_run_id,bigint,pg_catalog,int8,null,64,0,YES,null,NO,null
public,ai_bundle_recommendations,21,decision_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_bundle_recommendations,22,decision_action,text,pg_catalog,text,null,null,null,NO,'review'::text,NO,null
public,ai_bundle_recommendations,23,risk_score,numeric,pg_catalog,numeric,null,5,2,NO,50,NO,null
public,ai_ceo_briefs,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,ai_ceo_briefs,2,brief_date,date,pg_catalog,date,null,null,null,NO,CURRENT_DATE,NO,null
public,ai_ceo_briefs,3,headline,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,ai_ceo_briefs,4,executive_summary,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_ceo_briefs,5,priorities,jsonb,pg_catalog,jsonb,null,null,null,NO,'[]'::jsonb,NO,null
public,ai_ceo_briefs,6,recommended_actions,jsonb,pg_catalog,jsonb,null,null,null,NO,'[]'::jsonb,NO,null
public,ai_ceo_briefs,7,risks,jsonb,pg_catalog,jsonb,null,null,null,NO,'[]'::jsonb,NO,null
public,ai_ceo_briefs,8,expected_revenue,numeric,pg_catalog,numeric,null,null,null,NO,0,NO,null
public,ai_ceo_briefs,9,expected_profit,numeric,pg_catalog,numeric,null,null,null,NO,0,NO,null
public,ai_ceo_briefs,10,confidence,numeric,pg_catalog,numeric,null,null,null,NO,0,NO,null
public,ai_ceo_briefs,11,status,text,pg_catalog,text,null,null,null,NO,'draft'::text,NO,null
public,ai_ceo_briefs,12,created_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,ai_ceo_briefs,13,updated_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,ai_decision_runs,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,ai_decision_runs,2,run_type,text,pg_catalog,text,null,null,null,NO,'discovery'::text,NO,null
public,ai_decision_runs,3,status,text,pg_catalog,text,null,null,null,NO,'queued'::text,NO,null
public,ai_decision_runs,4,model_version,text,pg_catalog,text,null,null,null,NO,'decision-v2'::text,NO,null
public,ai_decision_runs,5,input_limit,integer,pg_catalog,int4,null,32,0,NO,100,NO,null
public,ai_decision_runs,6,processed_count,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_decision_runs,7,recommendation_count,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_decision_runs,8,bundle_count,integer,pg_catalog,int4,null,32,0,NO,0,NO,null
public,ai_decision_runs,9,decision_summary,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,ai_decision_runs,10,error_message,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_decision_runs,11,started_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,ai_decision_runs,12,completed_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,ai_decision_runs,13,evidence,jsonb,pg_catalog,jsonb,null,null,null,NO,'[]'::jsonb,NO,null
public,ai_decision_runs,14,confidence_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
public,ai_decision_runs,15,approval_status,text,pg_catalog,text,null,null,null,NO,'not_required'::text,NO,null
public,ai_decision_runs,16,approved_by,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_decision_runs,17,approved_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,ai_decision_runs,18,result_summary,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
