schema_name,table_name,constraint_name,constraint_type,is_deferrable,initially_deferred,is_validated,definition
public,ai_bundle_items,ai_bundle_items_bundle_id_fkey,f,false,false,true,FOREIGN KEY (bundle_id) REFERENCES ai_bundle_recommendations(id) ON DELETE CASCADE
public,ai_bundle_items,ai_bundle_items_bundle_id_market_product_id_key,u,false,false,true,"UNIQUE (bundle_id, market_product_id)"
public,ai_bundle_items,ai_bundle_items_market_product_id_fkey,f,false,false,true,FOREIGN KEY (market_product_id) REFERENCES market_products(id) ON DELETE CASCADE
public,ai_bundle_items,ai_bundle_items_pkey,p,false,false,true,PRIMARY KEY (id)
public,ai_bundle_items,ai_bundle_items_quantity_check,c,false,false,true,CHECK (quantity > 0)
public,ai_bundle_items,ai_bundle_items_role_check,c,false,false,true,"CHECK (role = ANY (ARRAY['anchor'::text, 'complement'::text, 'consumable'::text, 'accessory'::text, 'component'::text]))"
public,ai_bundle_recommendations,ai_bundle_recommendations_bundle_type_check,c,false,false,true,"CHECK (bundle_type = ANY (ARRAY['set'::text, 'bundle'::text, 'multipack'::text]))"
public,ai_bundle_recommendations,ai_bundle_recommendations_decision_action_check,c,false,false,true,"CHECK (decision_action = ANY (ARRAY['approve'::text, 'review'::text, 'hold'::text, 'reject'::text]))"
public,ai_bundle_recommendations,ai_bundle_recommendations_decision_run_id_fkey,f,false,false,true,FOREIGN KEY (decision_run_id) REFERENCES ai_decision_runs(id) ON DELETE SET NULL
public,ai_bundle_recommendations,ai_bundle_recommendations_pkey,p,false,false,true,PRIMARY KEY (id)
public,ai_bundle_recommendations,ai_bundle_recommendations_status_check,c,false,false,true,"CHECK (status = ANY (ARRAY['candidate'::text, 'reviewing'::text, 'approved'::text, 'rejected'::text, 'sourcing'::text]))"
public,ai_ceo_briefs,ai_ceo_briefs_brief_date_key,u,false,false,true,UNIQUE (brief_date)
public,ai_ceo_briefs,ai_ceo_briefs_confidence_check,c,false,false,true,CHECK (confidence >= 0::numeric AND confidence <= 100::numeric)
public,ai_ceo_briefs,ai_ceo_briefs_pkey,p,false,false,true,PRIMARY KEY (id)
public,ai_ceo_briefs,ai_ceo_briefs_status_check,c,false,false,true,"CHECK (status = ANY (ARRAY['draft'::text, 'review'::text, 'approved'::text, 'executing'::text, 'completed'::text]))"
public,ai_decision_runs,ai_decision_runs_approval_status_check,c,false,false,true,"CHECK (approval_status = ANY (ARRAY['not_required'::text, 'pending'::text, 'approved'::text, 'rejected'::text]))"
public,ai_decision_runs,ai_decision_runs_pkey,p,false,false,true,PRIMARY KEY (id)
public,ai_decision_runs,ai_decision_runs_status_check,c,false,false,true,"CHECK (status = ANY (ARRAY['queued'::text, 'running'::text, 'completed'::text, 'failed'::text]))"
public,ai_memory_events,ai_memory_events_confidence_check,c,false,false,true,CHECK (confidence >= 0::numeric AND confidence <= 100::numeric)
public,ai_memory_events,ai_memory_events_pkey,p,false,false,true,PRIMARY KEY (id)
public,ai_product_recommendations,ai_product_recommendations_decision_action_check,c,false,false,true,"CHECK (decision_action = ANY (ARRAY['approve'::text, 'review'::text, 'hold'::text, 'reject'::text]))"
public,ai_product_recommendations,ai_product_recommendations_decision_run_id_fkey,f,false,false,true,FOREIGN KEY (decision_run_id) REFERENCES ai_decision_runs(id) ON DELETE SET NULL
public,ai_product_recommendations,ai_product_recommendations_market_product_id_fkey,f,false,false,true,FOREIGN KEY (market_product_id) REFERENCES market_products(id) ON DELETE CASCADE
