table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
auth,schema_migrations,1,version,character varying,NO,null
information_schema,_pg_foreign_data_wrappers,1,oid,oid,YES,null
information_schema,_pg_foreign_data_wrappers,2,fdwowner,oid,YES,null
information_schema,_pg_foreign_data_wrappers,3,fdwoptions,ARRAY,YES,null
information_schema,_pg_foreign_data_wrappers,4,foreign_data_wrapper_catalog,name,YES,null
information_schema,_pg_foreign_data_wrappers,5,foreign_data_wrapper_name,name,YES,null
information_schema,_pg_foreign_data_wrappers,6,authorization_identifier,name,YES,null
information_schema,_pg_foreign_data_wrappers,7,foreign_data_wrapper_language,character varying,YES,null
information_schema,_pg_foreign_servers,1,oid,oid,YES,null
information_schema,_pg_foreign_servers,2,srvoptions,ARRAY,YES,null
information_schema,_pg_foreign_servers,3,foreign_server_catalog,name,YES,null
information_schema,_pg_foreign_servers,4,foreign_server_name,name,YES,null
information_schema,_pg_foreign_servers,5,foreign_data_wrapper_catalog,name,YES,null
information_schema,_pg_foreign_servers,6,foreign_data_wrapper_name,name,YES,null
information_schema,_pg_foreign_servers,7,foreign_server_type,character varying,YES,null
information_schema,_pg_foreign_servers,8,foreign_server_version,character varying,YES,null
information_schema,_pg_foreign_servers,9,authorization_identifier,name,YES,null
information_schema,_pg_foreign_table_columns,1,nspname,name,YES,null
information_schema,_pg_foreign_table_columns,2,relname,name,YES,null
information_schema,_pg_foreign_table_columns,3,attname,name,YES,null
information_schema,_pg_foreign_table_columns,4,attfdwoptions,ARRAY,YES,null
information_schema,_pg_foreign_tables,1,foreign_table_catalog,name,YES,null
information_schema,_pg_foreign_tables,2,foreign_table_schema,name,YES,null
information_schema,_pg_foreign_tables,3,foreign_table_name,name,YES,null
information_schema,_pg_foreign_tables,4,ftoptions,ARRAY,YES,null
information_schema,_pg_foreign_tables,5,foreign_server_catalog,name,YES,null
information_schema,_pg_foreign_tables,6,foreign_server_name,name,YES,null
information_schema,_pg_foreign_tables,7,authorization_identifier,name,YES,null
information_schema,_pg_user_mappings,1,oid,oid,YES,null
information_schema,_pg_user_mappings,2,umoptions,ARRAY,YES,null
information_schema,_pg_user_mappings,3,umuser,oid,YES,null
information_schema,_pg_user_mappings,4,authorization_identifier,name,YES,null
information_schema,_pg_user_mappings,5,foreign_server_catalog,name,YES,null
information_schema,_pg_user_mappings,6,foreign_server_name,name,YES,null
information_schema,_pg_user_mappings,7,srvowner,name,YES,null
information_schema,administrable_role_authorizations,1,grantee,name,YES,null
information_schema,administrable_role_authorizations,2,role_name,name,YES,null
information_schema,administrable_role_authorizations,3,is_grantable,character varying,YES,null
information_schema,applicable_roles,1,grantee,name,YES,null
information_schema,applicable_roles,2,role_name,name,YES,null
information_schema,applicable_roles,3,is_grantable,character varying,YES,null
information_schema,attributes,1,udt_catalog,name,YES,null
information_schema,attributes,2,udt_schema,name,YES,null
information_schema,attributes,3,udt_name,name,YES,null
information_schema,attributes,4,attribute_name,name,YES,null
information_schema,attributes,5,ordinal_position,integer,YES,null
information_schema,attributes,6,attribute_default,character varying,YES,null
information_schema,attributes,7,is_nullable,character varying,YES,null
information_schema,attributes,8,data_type,character varying,YES,null
information_schema,attributes,9,character_maximum_length,integer,YES,null
information_schema,attributes,10,character_octet_length,integer,YES,null
information_schema,attributes,11,character_set_catalog,name,YES,null
information_schema,attributes,12,character_set_schema,name,YES,null
information_schema,attributes,13,character_set_name,name,YES,null
information_schema,attributes,14,collation_catalog,name,YES,null
information_schema,attributes,15,collation_schema,name,YES,null
information_schema,attributes,16,collation_name,name,YES,null
information_schema,attributes,17,numeric_precision,integer,YES,null
information_schema,attributes,18,numeric_precision_radix,integer,YES,null
information_schema,attributes,19,numeric_scale,integer,YES,null
information_schema,attributes,20,datetime_precision,integer,YES,null
information_schema,attributes,21,interval_type,character varying,YES,null
information_schema,attributes,22,interval_precision,integer,YES,null
information_schema,attributes,23,attribute_udt_catalog,name,YES,null
information_schema,attributes,24,attribute_udt_schema,name,YES,null
information_schema,attributes,25,attribute_udt_name,name,YES,null
information_schema,attributes,26,scope_catalog,name,YES,null
information_schema,attributes,27,scope_schema,name,YES,null
information_schema,attributes,28,scope_name,name,YES,null
information_schema,attributes,29,maximum_cardinality,integer,YES,null
information_schema,attributes,30,dtd_identifier,name,YES,null
information_schema,attributes,31,is_derived_reference_attribute,character varying,YES,null
information_schema,character_sets,1,character_set_catalog,name,YES,null
information_schema,character_sets,2,character_set_schema,name,YES,null
information_schema,character_sets,3,character_set_name,name,YES,null
information_schema,character_sets,4,character_repertoire,name,YES,null
information_schema,character_sets,5,form_of_use,name,YES,null
information_schema,character_sets,6,default_collate_catalog,name,YES,null
information_schema,character_sets,7,default_collate_schema,name,YES,null
information_schema,character_sets,8,default_collate_name,name,YES,null
information_schema,check_constraint_routine_usage,1,constraint_catalog,name,YES,null
information_schema,check_constraint_routine_usage,2,constraint_schema,name,YES,null
information_schema,check_constraint_routine_usage,3,constraint_name,name,YES,null
information_schema,check_constraint_routine_usage,4,specific_catalog,name,YES,null
information_schema,check_constraint_routine_usage,5,specific_schema,name,YES,null
information_schema,check_constraint_routine_usage,6,specific_name,name,YES,null
information_schema,check_constraints,1,constraint_catalog,name,YES,null
information_schema,check_constraints,2,constraint_schema,name,YES,null
information_schema,check_constraints,3,constraint_name,name,YES,null
information_schema,check_constraints,4,check_clause,character varying,YES,null
information_schema,collation_character_set_applicability,1,collation_catalog,name,YES,null
information_schema,collation_character_set_applicability,2,collation_schema,name,YES,null
information_schema,collation_character_set_applicability,3,collation_name,name,YES,null
information_schema,collation_character_set_applicability,4,character_set_catalog,name,YES,null
information_schema,collation_character_set_applicability,5,character_set_schema,name,YES,null
information_schema,collation_character_set_applicability,6,character_set_name,name,YES,null
information_schema,collations,1,collation_catalog,name,YES,null
information_schema,collations,2,collation_schema,name,YES,null
information_schema,collations,3,collation_name,name,YES,null
information_schema,collations,4,pad_attribute,character varying,YES,null
information_schema,column_column_usage,1,table_catalog,name,YES,null
information_schema,column_column_usage,2,table_schema,name,YES,null
information_schema,column_column_usage,3,table_name,name,YES,null
information_schema,column_column_usage,4,column_name,name,YES,null
information_schema,column_column_usage,5,dependent_column,name,YES,null
information_schema,column_domain_usage,1,domain_catalog,name,YES,null
information_schema,column_domain_usage,2,domain_schema,name,YES,null
information_schema,column_domain_usage,3,domain_name,name,YES,null
information_schema,column_domain_usage,4,table_catalog,name,YES,null
information_schema,column_domain_usage,5,table_schema,name,YES,null
information_schema,column_domain_usage,6,table_name,name,YES,null
information_schema,column_domain_usage,7,column_name,name,YES,null
information_schema,column_options,1,table_catalog,name,YES,null
information_schema,column_options,2,table_schema,name,YES,null
information_schema,column_options,3,table_name,name,YES,null
information_schema,column_options,4,column_name,name,YES,null
information_schema,column_options,5,option_name,name,YES,null
information_schema,column_options,6,option_value,character varying,YES,null
information_schema,column_privileges,1,grantor,name,YES,null
information_schema,column_privileges,2,grantee,name,YES,null
information_schema,column_privileges,3,table_catalog,name,YES,null
information_schema,column_privileges,4,table_schema,name,YES,null
information_schema,column_privileges,5,table_name,name,YES,null
information_schema,column_privileges,6,column_name,name,YES,null
information_schema,column_privileges,7,privilege_type,character varying,YES,null
information_schema,column_privileges,8,is_grantable,character varying,YES,null
