object_category,schema_name,parent_name,object_name,definition
column,public,ai_bundle_items,bundle_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,ai_bundle_items,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_bundle_items,item_order,6|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_bundle_items,market_product_id,3|bigint|pg_catalog|int8|NO||NO|
column,public,ai_bundle_items,quantity,5|integer|pg_catalog|int4|NO|1|NO|
column,public,ai_bundle_items,role,4|text|pg_catalog|text|NO|'component'::text|NO|
column,public,ai_bundle_recommendations,ai_score,7|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_bundle_recommendations,bundle_name,2|text|pg_catalog|text|NO||NO|
column,public,ai_bundle_recommendations,bundle_type,3|text|pg_catalog|text|NO|'bundle'::text|NO|
column,public,ai_bundle_recommendations,category,5|text|pg_catalog|text|YES||NO|
column,public,ai_bundle_recommendations,confidence,12|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_bundle_recommendations,convenience_score,9|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_bundle_recommendations,decision_action,22|text|pg_catalog|text|NO|'review'::text|NO|
column,public,ai_bundle_recommendations,decision_run_id,20|bigint|pg_catalog|int8|YES||NO|
column,public,ai_bundle_recommendations,decision_score,21|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_bundle_recommendations,differentiation_score,10|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_bundle_recommendations,evidence,17|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,ai_bundle_recommendations,generated_at,18|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_bundle_recommendations,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_bundle_recommendations,keyword,4|text|pg_catalog|text|YES||NO|
column,public,ai_bundle_recommendations,margin_score,11|numeric|pg_catalog|numeric|NO|50|NO|
column,public,ai_bundle_recommendations,recommendation_reason,16|text|pg_catalog|text|YES||NO|
column,public,ai_bundle_recommendations,reviewed_at,19|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,ai_bundle_recommendations,risk_score,23|numeric|pg_catalog|numeric|NO|50|NO|
column,public,ai_bundle_recommendations,status,6|text|pg_catalog|text|NO|'candidate'::text|NO|
column,public,ai_bundle_recommendations,synergy_score,8|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_bundle_recommendations,target_cost_price,14|numeric|pg_catalog|numeric|YES||NO|
column,public,ai_bundle_recommendations,target_margin_rate,15|numeric|pg_catalog|numeric|YES||NO|
column,public,ai_bundle_recommendations,target_sale_price,13|numeric|pg_catalog|numeric|YES||NO|
column,public,ai_ceo_briefs,brief_date,2|date|pg_catalog|date|NO|CURRENT_DATE|NO|
column,public,ai_ceo_briefs,confidence,10|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_ceo_briefs,created_at,12|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_ceo_briefs,executive_summary,4|text|pg_catalog|text|YES||NO|
column,public,ai_ceo_briefs,expected_profit,9|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_ceo_briefs,expected_revenue,8|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_ceo_briefs,headline,3|text|pg_catalog|text|NO||NO|
column,public,ai_ceo_briefs,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_ceo_briefs,priorities,5|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,ai_ceo_briefs,recommended_actions,6|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,ai_ceo_briefs,risks,7|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,ai_ceo_briefs,status,11|text|pg_catalog|text|NO|'draft'::text|NO|
column,public,ai_ceo_briefs,updated_at,13|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_decision_runs,approval_status,15|text|pg_catalog|text|NO|'not_required'::text|NO|
column,public,ai_decision_runs,approved_at,17|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,ai_decision_runs,approved_by,16|text|pg_catalog|text|YES||NO|
column,public,ai_decision_runs,bundle_count,8|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_decision_runs,completed_at,12|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,ai_decision_runs,confidence_score,14|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_decision_runs,decision_summary,9|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,ai_decision_runs,error_message,10|text|pg_catalog|text|YES||NO|
column,public,ai_decision_runs,evidence,13|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,ai_decision_runs,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_decision_runs,input_limit,5|integer|pg_catalog|int4|NO|100|NO|
column,public,ai_decision_runs,learning_summary,19|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,ai_decision_runs,model_version,4|text|pg_catalog|text|NO|'decision-v2'::text|NO|
column,public,ai_decision_runs,processed_count,6|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_decision_runs,recommendation_count,7|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_decision_runs,result_summary,18|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,ai_decision_runs,run_type,2|text|pg_catalog|text|NO|'discovery'::text|NO|
column,public,ai_decision_runs,started_at,11|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_decision_runs,status,3|text|pg_catalog|text|NO|'queued'::text|NO|
column,public,ai_memory_events,confidence,11|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_memory_events,created_at,14|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_memory_events,decision,8|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,evidence,7|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,ai_memory_events,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_memory_events,impact_score,12|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_memory_events,learning,10|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,memory_type,2|text|pg_catalog|text|NO|'decision'::text|NO|
column,public,ai_memory_events,reason,6|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,result,9|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,subject_id,4|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,subject_type,3|text|pg_catalog|text|NO|'system'::text|NO|
